"DateTime","2021 All-Star Game"
"2021-04-16 14:07:50",8647
"2021-04-16 15:07:50",8610
"2021-04-16 16:07:39",8542
"2021-04-16 17:07:37",8557
"2021-04-16 18:07:19",8540
"2021-04-16 19:07:01",8512
"2021-04-16 20:07:15",8473
"2021-04-16 21:07:02",8473
"2021-04-16 22:07:06",8371
"2021-04-16 23:07:04",8404
"2021-04-17 00:06:54",8410
"2021-04-17 01:06:46",8410
"2021-04-17 02:06:46",8405
"2021-04-17 03:06:33",8274
"2021-04-17 04:06:35",8281
"2021-04-17 05:06:32",8323
"2021-04-17 06:06:37",8302
"2021-04-17 07:06:37",8287
"2021-04-17 08:06:46",8296
"2021-04-17 09:06:30",8277
"2021-04-17 10:06:50",8291
"2021-04-17 11:06:52",8493
"2021-04-17 12:06:58",8488
"2021-04-17 13:07:00",8444
"2021-04-17 14:07:02",8417
"2021-04-17 15:07:10",8456
"2021-04-17 16:07:04",8359
"2021-04-17 17:06:59",8390
"2021-04-17 18:07:00",8381
"2021-04-17 19:06:59",8415
"2021-04-17 20:07:24",8423
"2021-04-17 21:07:04",8313
"2021-04-17 22:07:10",8306
"2021-04-17 23:07:07",8279
"2021-04-18 00:07:03",8238
"2021-04-18 01:06:53",8204
"2021-04-18 02:06:51",8185
"2021-04-18 03:06:41",8202
"2021-04-18 04:06:36",8179
"2021-04-18 05:06:40",8166
"2021-04-18 06:06:38",8174
"2021-04-18 07:06:43",8099
"2021-04-18 08:06:54",8090
"2021-04-18 09:06:52",8047
"2021-04-18 10:07:00",8051
"2021-04-18 11:07:06",7995
"2021-04-18 12:07:10",7996
"2021-04-18 13:07:11",8003
"2021-04-18 14:07:18",8004
"2021-04-18 15:07:22",8007
"2021-04-18 16:07:26",7993
"2021-04-18 17:07:12",7960
"2021-04-18 18:07:10",7967
"2021-04-18 19:07:10",7939
"2021-04-18 20:07:18",7922
"2021-04-18 21:07:22",7872
"2021-04-18 22:07:15",7914
"2021-04-18 23:07:07",7927
"2021-04-19 00:07:17",7938
"2021-04-19 01:06:58",7919
"2021-04-19 02:08:58",7872
"2021-04-19 03:08:48",7896
"2021-04-19 04:08:53",7873
"2021-04-19 05:08:57",7804
"2021-04-19 06:09:16",7806
"2021-04-19 07:09:33",7817
"2021-04-19 08:09:58",7750
"2021-04-19 10:14:21",7756
"2021-04-19 11:13:39",7832
"2021-04-19 12:13:35",7754
"2021-04-19 13:12:55",7704
"2021-04-19 14:13:14",7655
"2021-04-19 15:12:51",7804
"2021-04-19 16:12:08",7662
"2021-04-19 17:11:42",7616
"2021-04-19 18:10:53",7698
"2021-04-19 19:10:38",7687
"2021-04-19 20:10:44",7674
"2021-04-19 21:10:38",7680
"2021-04-19 22:10:36",7665
"2021-04-19 23:07:18",7579
"2021-04-20 00:07:15",7567
"2021-04-20 01:07:05",7550
"2021-04-20 02:07:02",7560
"2021-04-20 03:06:58",7558
"2021-04-20 04:06:56",7538
"2021-04-20 05:06:48",7522
"2021-04-20 06:06:55",7509
"2021-04-20 07:06:47",7473
"2021-04-20 08:07:03",7408
"2021-04-20 09:07:05",7361
"2021-04-20 10:07:52",7342
"2021-04-20 11:07:56",7363
"2021-04-20 17:07:42",7323
"2021-04-20 18:07:17",7324
"2021-04-20 19:07:16",7305
"2021-04-20 20:07:32",7274
